model,converged,alpha,alpha_se,log_likelihood,k_params,aic,test_mae,mean_poisson_deviance,coefficients
Poisson GLM,True,,,-114769.41352163142,5,229548.82704326283,0.09888029753633458,0.3220326804465918,"{'Intercept': np.float64(-3.734778752987513), 'BonusMalus': np.float64(0.02300371928549883), 'DrivAge': np.float64(0.007218439710043723), 'VehAge': np.float64(-0.04312764163373274), 'Density': np.float64(9.923396555544447e-06)}"
"Negative Binomial GLM (alpha=1, fixed)",True,1.0,not estimated (fixed by assumption),-114413.78097292053,5,228837.56194584107,0.09944562420355263,0.3220481560486672,"{'Intercept': np.float64(-3.7397190546117653), 'BonusMalus': np.float64(0.023340269989020935), 'DrivAge': np.float64(0.0072989859008541266), 'VehAge': np.float64(-0.04441889797196536), 'Density': np.float64(1.0456670749685201e-05)}"
Negative Binomial NB2 (alpha estimated via profile MLE),True,0.9845643438903823,0.0489618578522007,-114413.73221916617,6,228839.46443833233,0.09943713333458383,0.3220477913634991,"{'Intercept': np.float64(-3.739794555109722), 'BonusMalus': np.float64(0.023337031259250175), 'DrivAge': np.float64(0.007298805565384448), 'VehAge': np.float64(-0.04440086506867656), 'Density': np.float64(1.0448511793955894e-05)}"
