model,n_ok,n_failed,mean_mae,std_mae,min_mae,max_mae,ci95_low,ci95_high,mean_poisson_deviance,n_wins,pct_wins,avg_rank
Poisson GLM,20,0,0.09897347271895417,0.00039608161822512713,0.09837871354864901,0.09967722277408908,0.0987881008155067,0.09915884462240164,0.3216853609793845,0,0.0,3.0
Negative Binomial NB2 (alpha estimated),20,0,0.09951975029700826,0.0003915610932058937,0.09894310899448125,0.10020611025193817,0.09933649406439436,0.09970300652962215,0.3216960523043578,0,0.0,4.0
Random Forest,20,0,0.09820228303383927,0.0004023837866267012,0.09749439995696751,0.09906249942076627,0.09801396162478818,0.09839060444289036,0.298575849255297,18,90.0,1.1
XGBoost,20,0,0.09827500842511654,0.0003881083290737196,0.09759457409381866,0.09908229112625122,0.09809336813585848,0.0984566487143746,0.29839569412760547,2,10.0,1.9
